,no2_ref
6801,7.9
870,3.1
2294,6.9
7221,1.8
2482,3.6
5894,2.1
6355,20.6
6536,2.7
3393,4.2
5709,2.0
7143,5.8
4371,1.2
4288,7.2
1433,1.8
648,25.0
3312,4.2
771,3.8
6478,15.3
7794,24.2
3707,1.5
4624,7.4
372,4.0
2775,1.3
3741,1.9
561,8.1
7940,5.3
2723,14.5
882,8.9
5501,8.1
3095,2.0
6900,6.2
4389,1.0
6090,1.9
3990,1.4
3813,2.1
3569,4.6
1764,18.2
2891,1.6
6461,4.4
4845,2.6
604,2.4
7587,11.9
5681,5.6
971,11.4
8135,14.8
7016,9.0
7215,3.6
6719,1.7
5149,4.4
7772,4.4
7212,1.2
7623,3.2
7391,2.9
7345,2.9
1884,6.7
5736,1.9
4407,1.3
4002,5.5
4564,3.1
637,3.9
7921,3.3
3514,2.7
5657,4.3
5494,4.9
1056,5.6
1687,1.9
5729,1.5
1332,2.8
4217,2.7
2804,4.3
2382,2.2
5777,1.4
6223,0.9
845,20.6
2508,1.8
2133,3.3
4818,4.1
6642,7.8
7594,7.8
7996,10.9
2101,1.8
5610,12.2
4161,2.7
1175,6.9
5586,2.0
502,4.5
4743,3.5
5167,2.0
3497,7.8
1248,17.8
6354,18.6
4189,1.7
3817,4.5
6284,5.9
3488,9.1
160,7.1
1462,25.5
7145,14.7
5676,3.8
6171,7.4
6195,1.4
6716,2.9
4831,8.0
5049,1.5
4557,1.2
4481,4.5
8112,3.1
6667,6.3
1068,11.8
4546,7.0
1500,2.8
1275,4.6
1832,10.5
499,6.6
4752,8.7
3724,2.9
3888,5.7
8124,9.3
5653,2.5
7329,2.2
6925,4.7
2990,2.3
6103,5.5
2391,2.7
892,4.9
6924,4.5
797,3.0
3827,0.8
5755,0.9
7222,3.2
7785,5.6
3618,2.6
4720,3.6
6304,8.1
5310,0.8
317,3.7
2229,6.2
3747,1.2
7786,14.2
1796,12.2
1131,12.1
1890,1.1
6447,5.2
7009,14.1
7555,7.2
6245,1.2
8028,8.5
4406,0.8
283,2.3
1617,8.1
5103,2.6
2283,1.3
1442,1.7
6829,26.6
2731,2.7
6395,5.8
1100,2.9
4293,7.9
6567,2.6
1334,3.7
4042,4.6
7432,10.2
5778,1.4
4548,6.6
38,6.0
5297,2.1
3584,8.1
7153,14.5
7693,2.0
3270,5.6
5480,2.6
3945,1.4
6720,1.5
5044,1.4
4599,10.3
3234,0.9
6406,1.9
5254,2.0
5934,0.7
6837,15.1
530,3.5
3837,4.2
2369,3.2
5190,1.5
6964,7.9
1827,7.1
1639,3.2
5843,1.4
4328,2.0
3865,2.9
4914,6.5
8081,24.1
3208,2.9
1768,22.1
5773,1.1
2655,1.3
6575,0.4
7076,6.3
3037,6.2
7697,2.6
2147,4.8
1572,5.1
